date,day as a number,Hygiene and safety measure-Protective mask use community-Closed public spaces,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Contact tracing-Mobile technology,Case management and quarantine-Contact tracing-Not applicable,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Other-Not applicable,International travel-Border screening-PCR/rapid antigen testing,International travel-Border screening-Temperature screening,Physical distancing-Closure of educational institutions-Secondary School,Physical distancing-Closure of educational institutions-Primary School,Case management and quarantine-Isolation of case-Not applicable,Hygiene and safety measure-Protective mask use community-All public spaces,Hygiene and safety measure-Disinfection disinfestation and deratting DDD-Not applicable,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Case management and quarantine-Contact tracing-Other,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Stay at home orders-Not applicable,Internal travel-Travel restrictions-Cordon sanitaire,General-Risk assessment-Not applicable,General-Exemptions to NPIs-Antibodies proof,General-Exemptions to NPIs-Negative test proof,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Closure of educational institutions-Other,International travel-Border screening-Other,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Public gathering restriction-Indoor over 500,Internal travel-Other-Not applicable,Physical distancing-Measures for special populations-Visiting restrictions,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,Physical distancing-Workplace measures-Teleworking,Physical distancing-Workplace measures-Other,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Closure of public transport-Not applicable,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of public spaces-Hotels other accommodation,Physical distancing-Workplace measures-Adaptation of workplace,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,Internal travel-Travel restrictions-Other,Physical distancing-Measures for special populations-Other,International travel-Travel advice-Not applicable,Physical distancing-Other-Not applicable,General-General other-Not applicable,Physical distancing-Closure of public spaces-Place of worship,Internal travel-Travel advice-Not applicable
2020-05-15,75,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,2
2020-05-16,76,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,2
2020-05-17,77,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,2
2020-05-18,78,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-19,79,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-20,80,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-21,81,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-22,82,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-23,83,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-24,84,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-25,85,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-26,86,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-27,87,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-28,88,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-29,89,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-30,90,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-05-31,91,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-06-01,92,0,0,2,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-06-02,93,0,0,2,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,0,2,2,1
2020-06-03,94,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,2,0,2,2,1
2020-06-04,95,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,0,0,2,2,0
2020-06-05,96,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,0,0,2,2,0
2020-06-06,97,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,0,0,2,2,0
2020-06-07,98,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,0,0,2,2,0
2020-06-08,99,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,0,0,2,2,0
2020-06-09,100,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,0,0,2,2,0
2020-06-10,101,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,1,0,0,0,2,2,0
2020-06-11,102,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,0,0,1,0,1,0,0,0,2,2,0
2020-06-12,103,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,2,0
2020-06-13,104,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,2,0
2020-06-14,105,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,2,0
2020-06-15,106,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,2,0
2020-06-16,107,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-17,108,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-18,109,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-19,110,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-20,111,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-21,112,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-22,113,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-23,114,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-24,115,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-25,116,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-26,117,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-27,118,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-28,119,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-29,120,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-06-30,121,0,0,0,2,2,1,0,0,2,1,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-01,122,0,0,0,2,2,1,0,0,2,1,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-02,123,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-03,124,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-04,125,0,0,0,2,2,1,0,0,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-05,126,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-06,127,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-07,128,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-08,129,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-09,130,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-10,131,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-11,132,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-12,133,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-13,134,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-14,135,0,0,0,2,2,1,0,0,2,2,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-15,136,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-16,137,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-17,138,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-18,139,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-19,140,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-20,141,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-21,142,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-22,143,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-23,144,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-24,145,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-25,146,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-26,147,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-27,148,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-28,149,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-29,150,2,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-30,151,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-07-31,152,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-01,153,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-02,154,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-03,155,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-04,156,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-05,157,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-06,158,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-07,159,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2020-08-08,160,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-09,161,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-10,162,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-11,163,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-12,164,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-13,165,2,0,0,2,2,2,0,1,2,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-14,166,2,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-15,167,2,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-16,168,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-17,169,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-18,170,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-19,171,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-20,172,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-21,173,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-22,174,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,0,0,0,0,0,0
2020-08-23,175,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-24,176,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-25,177,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-26,178,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-27,179,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-28,180,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-29,181,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-30,182,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-08-31,183,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-09-01,184,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-09-02,185,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-09-03,186,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-09-04,187,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
2020-09-05,188,0,0,0,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0,0
