part_id,sday_id,dayofweek,month,year,day,wave
10806601,2020.12.21,1,12,2020,21,1
10806701,2020.12.21,1,12,2020,21,1
10806801,2020.12.21,1,12,2020,21,1
10806901,2020.12.21,1,12,2020,21,1
10807001,2020.12.21,1,12,2020,21,1
10807101,2020.12.21,1,12,2020,21,1
10807201,2020.12.21,1,12,2020,21,1
10807301,2020.12.21,1,12,2020,21,1
10807401,2020.12.21,1,12,2020,21,1
10807501,2020.12.21,1,12,2020,21,1
10807601,2020.12.22,2,12,2020,22,1
10807701,2020.12.22,2,12,2020,22,1
10807801,2020.12.22,2,12,2020,22,1
10807901,2020.12.22,2,12,2020,22,1
10808001,2020.12.22,2,12,2020,22,1
10808101,2020.12.22,2,12,2020,22,1
10808201,2020.12.22,2,12,2020,22,1
10808301,2020.12.22,2,12,2020,22,1
10808401,2020.12.22,2,12,2020,22,1
10808501,2020.12.22,2,12,2020,22,1
10808601,2020.12.22,2,12,2020,22,1
10808701,2020.12.22,2,12,2020,22,1
10808801,2020.12.22,2,12,2020,22,1
10808901,2020.12.22,2,12,2020,22,1
10809001,2020.12.22,2,12,2020,22,1
10809101,2020.12.22,2,12,2020,22,1
10809201,2020.12.22,2,12,2020,22,1
10809301,2020.12.22,2,12,2020,22,1
10809401,2020.12.22,2,12,2020,22,1
10809501,2020.12.22,2,12,2020,22,1
10809601,2020.12.22,2,12,2020,22,1
10809701,2020.12.22,2,12,2020,22,1
10809801,2020.12.22,2,12,2020,22,1
10809901,2020.12.22,2,12,2020,22,1
10810001,2020.12.22,2,12,2020,22,1
10810101,2020.12.22,2,12,2020,22,1
10810201,2020.12.22,2,12,2020,22,1
10810301,2020.12.22,2,12,2020,22,1
10810401,2020.12.22,2,12,2020,22,1
10810501,2020.12.22,2,12,2020,22,1
10810601,2020.12.22,2,12,2020,22,1
10810701,2020.12.22,2,12,2020,22,1
10810801,2020.12.22,2,12,2020,22,1
10810901,2020.12.22,2,12,2020,22,1
10811001,2020.12.22,2,12,2020,22,1
10811101,2020.12.22,2,12,2020,22,1
10811201,2020.12.22,2,12,2020,22,1
10811301,2020.12.22,2,12,2020,22,1
10811401,2020.12.22,2,12,2020,22,1
10811501,2020.12.22,2,12,2020,22,1
10811601,2020.12.22,2,12,2020,22,1
10811701,2020.12.22,2,12,2020,22,1
10811801,2020.12.22,2,12,2020,22,1
10811901,2020.12.22,2,12,2020,22,1
10812001,2020.12.22,2,12,2020,22,1
10812101,2020.12.22,2,12,2020,22,1
10812201,2020.12.22,2,12,2020,22,1
10812301,2020.12.22,2,12,2020,22,1
10812401,2020.12.22,2,12,2020,22,1
10812501,2020.12.22,2,12,2020,22,1
10812601,2020.12.22,2,12,2020,22,1
10812701,2020.12.22,2,12,2020,22,1
10812801,2020.12.22,2,12,2020,22,1
10812901,2020.12.22,2,12,2020,22,1
10813001,2020.12.22,2,12,2020,22,1
10813101,2020.12.22,2,12,2020,22,1
10813201,2020.12.22,2,12,2020,22,1
10813301,2020.12.22,2,12,2020,22,1
10813401,2020.12.22,2,12,2020,22,1
10813501,2020.12.22,2,12,2020,22,1
10813601,2020.12.22,2,12,2020,22,1
10813701,2020.12.22,2,12,2020,22,1
10813801,2020.12.22,2,12,2020,22,1
10813901,2020.12.22,2,12,2020,22,1
10814001,2020.12.22,2,12,2020,22,1
10814101,2020.12.22,2,12,2020,22,1
10814201,2020.12.22,2,12,2020,22,1
10814301,2020.12.22,2,12,2020,22,1
10814401,2020.12.22,2,12,2020,22,1
10814501,2020.12.22,2,12,2020,22,1
10814601,2020.12.22,2,12,2020,22,1
10814701,2020.12.22,2,12,2020,22,1
10814801,2020.12.22,2,12,2020,22,1
10814901,2020.12.22,2,12,2020,22,1
10815001,2020.12.22,2,12,2020,22,1
10815101,2020.12.22,2,12,2020,22,1
10815201,2020.12.22,2,12,2020,22,1
10815301,2020.12.22,2,12,2020,22,1
10815401,2020.12.22,2,12,2020,22,1
10815501,2020.12.22,2,12,2020,22,1
10815601,2020.12.22,2,12,2020,22,1
10815701,2020.12.22,2,12,2020,22,1
10815801,2020.12.22,2,12,2020,22,1
10815901,2020.12.22,2,12,2020,22,1
10816001,2020.12.22,2,12,2020,22,1
10816101,2020.12.22,2,12,2020,22,1
10816201,2020.12.22,2,12,2020,22,1
10816301,2020.12.22,2,12,2020,22,1
10816401,2020.12.22,2,12,2020,22,1
10816501,2020.12.22,2,12,2020,22,1
10816601,2020.12.22,2,12,2020,22,1
10816701,2020.12.22,2,12,2020,22,1
10816801,2020.12.22,2,12,2020,22,1
10816901,2020.12.22,2,12,2020,22,1
10817001,2020.12.22,2,12,2020,22,1
10817101,2020.12.22,2,12,2020,22,1
10817201,2020.12.22,2,12,2020,22,1
10817301,2020.12.22,2,12,2020,22,1
10817401,2020.12.22,2,12,2020,22,1
10817501,2020.12.22,2,12,2020,22,1
10817601,2020.12.22,2,12,2020,22,1
10817701,2020.12.22,2,12,2020,22,1
10817801,2020.12.22,2,12,2020,22,1
10817901,2020.12.23,3,12,2020,23,1
10818001,2020.12.22,2,12,2020,22,1
10818101,2020.12.22,2,12,2020,22,1
10818201,2020.12.22,2,12,2020,22,1
10818301,2020.12.22,2,12,2020,22,1
10818401,2020.12.22,2,12,2020,22,1
10818501,2020.12.22,2,12,2020,22,1
10818601,2020.12.22,2,12,2020,22,1
10818701,2020.12.22,2,12,2020,22,1
10818801,2020.12.22,2,12,2020,22,1
10818901,2020.12.22,2,12,2020,22,1
10819001,2020.12.22,2,12,2020,22,1
10819101,2020.12.22,2,12,2020,22,1
10819201,2020.12.22,2,12,2020,22,1
10819301,2020.12.22,2,12,2020,22,1
10819401,2020.12.22,2,12,2020,22,1
10819501,2020.12.22,2,12,2020,22,1
10819601,2020.12.22,2,12,2020,22,1
10819701,2020.12.22,2,12,2020,22,1
10819801,2020.12.22,2,12,2020,22,1
10819901,2020.12.22,2,12,2020,22,1
10820001,2020.12.22,2,12,2020,22,1
10820101,2020.12.22,2,12,2020,22,1
10820201,2020.12.22,2,12,2020,22,1
10820301,2020.12.22,2,12,2020,22,1
10820401,2020.12.22,2,12,2020,22,1
10820501,2020.12.22,2,12,2020,22,1
10820601,2020.12.22,2,12,2020,22,1
10820701,2020.12.22,2,12,2020,22,1
10820801,2020.12.22,2,12,2020,22,1
